gene_name	WT_0h_rep_1	WT_0h_rep_2	WT_0h_rep_3	WT_0h_rep_4	WT_1h_rep_1	WT_1h_rep_2	WT_1h_rep_3	WT_1h_rep_4	WT_2h_rep_1	WT_2h_rep_2	WT_2h_rep_3	WT_2h_rep_4	WT_4h_rep_1	WT_4h_rep_2	WT_4h_rep_3	WT_4h_rep_4
Eya1	276	561	422	266	266	369	316	244	83	223	187	180	17	41	59	30
Msc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trpa1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
Kcnb2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0
Terf1	172	299	191	225	122	164	224	118	74	110	128	115	23	86	85	39
Sbspon	0	4	6	0	0	0	1	0	3	0	0	2	0	1	1	0
Gm7634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930444P10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl7	1085	1918	1202	1515	1220	1304	1660	1433	861	1470	1661	1561	822	1167	1573	1013
Rdh10	46	63	43	51	26	32	33	42	17	28	25	23	12	13	11	14
Stau2	63	85	61	79	87	57	59	66	65	61	41	93	53	50	73	52
Ube2w	128	176	101	151	100	93	71	100	96	103	90	124	67	112	105	109
Eloc	188	319	173	289	215	225	204	270	165	254	262	335	143	211	245	265
D030040B21Rik	0	0	1	0	1	0	1	0	0	1	0	2	0	2	0	0
Tmem70	107	158	86	121	126	83	111	102	107	139	113	217	102	115	214	155
Ly96	187	295	170	287	161	226	291	239	178	291	427	379	224	320	463	385
Jph1	0	2	0	0	4	1	1	2	1	0	1	0	1	0	3	0
Gdap1	4	2	3	1	2	4	3	2	2	0	3	1	0	1	0	0
Pi15	0	0	0	0	2	1	0	0	1	1	0	0	0	0	0	0
Crispld1	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Crisp4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Defb44-ps	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Defb18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Defb41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tfap2d	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Tfap2b	0	0	0	0	0	1	0	0	0	0	2	0	1	0	2	0
Pkhd1	0	0	0	2	0	0	1	0	0	1	3	1	1	0	1	2
4930486I03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir133b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il17a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il17f	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Mcm3	1070	1566	1045	1231	1152	1009	1074	1340	618	772	763	910	144	247	266	194
6720483E21Rik	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Paqr8	15	12	9	10	7	6	4	16	4	6	3	9	6	6	5	7
Efhc1	2	1	2	4	4	0	6	3	1	4	1	1	1	0	1	1
Tram2	50	79	56	74	55	59	61	55	61	58	112	70	45	114	94	51
Tmem14a	15	23	9	18	11	13	14	18	6	9	11	8	2	14	5	3
Gsta3	8	3	7	11	10	4	4	10	2	8	1	20	2	2	2	7
Gm4956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Khdc1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Khdc1c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Khdc1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kcnq5	0	0	2	0	0	0	2	0	1	1	1	0	0	0	1	2
Rims1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Ppp1r14bl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir30a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir30c-2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Ogfrl1	569	1024	613	629	491	561	664	538	385	535	695	632	373	907	752	480
Gm19673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B3gat2	17	11	13	9	15	10	5	11	8	12	7	6	8	12	12	5
Smap1	375	651	446	497	450	445	583	493	338	479	572	484	254	452	532	341
Sdhaf4	20	12	21	11	11	13	18	13	8	9	10	21	2	4	11	5
Fam135a	68	95	64	74	70	86	76	62	39	66	75	61	39	42	56	30
Col9a1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0
Col19a1	0	0	2	4	12	9	6	5	17	16	6	15	23	10	29	22
Lmbrd1	580	1017	620	588	787	810	926	680	525	811	851	862	400	608	870	425
Adgrb3	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
Gm20172	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
4931408C20Rik	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Gm5524	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
Gm7846	2	3	2	2	2	1	3	1	0	4	0	6	6	1	3	2
Gm597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Gm6462	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm9898	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Phf3	897	1662	1017	976	861	971	1008	860	514	789	759	754	241	376	503	275
Ptp4a1	884	1267	745	1021	1278	1534	1581	1327	906	1391	1266	1420	528	943	1283	583
4931428L18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lgsn	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Dnaaf6	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Gm4850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm6489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Khdrbs2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm9839	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Semp2l1	0	9	3	2	1	2	2	3	1	2	3	1	0	3	9	2
Prim2	268	505	267	342	274	303	366	368	189	264	306	308	71	140	158	101
1700001G17Rik	1	2	0	0	1	2	0	0	1	0	0	0	0	0	0	0
Rab23	31	42	47	57	21	12	17	15	14	18	19	18	6	12	17	14
Bag2	19	16	14	24	23	10	10	25	8	4	9	8	2	1	0	0
Zfp451	164	248	164	146	199	186	197	180	69	124	154	133	21	72	75	51
Gm15455	2	5	4	7	7	6	3	4	5	1	3	4	1	2	3	1
Bend6	7	17	8	3	13	10	12	6	14	18	15	10	4	37	12	11
Dst	785	831	639	861	1092	704	796	1008	1823	1662	1994	2303	2746	7160	5669	3099
Mir5103	9	8	6	4	4	6	2	5	1	1	2	3	2	6	3	2
Ccdc115	279	478	288	389	270	265	231	284	167	219	193	250	68	88	75	98
Imp4	570	771	517	685	576	566	630	722	424	578	541	629	291	375	412	356
D1Ertd448e	102	118	63	96	85	82	109	105	45	60	61	87	35	30	52	30
Ptpn18	196	366	230	309	148	195	236	231	107	175	195	205	67	122	128	103
Prss39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cfc1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prss40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amer3	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
AA619741	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0
Arhgef4	19	47	23	21	14	27	24	19	6	9	8	3	1	6	3	1
Fam168b	836	1254	864	913	873	935	952	817	515	695	683	696	200	368	411	201
Plekhb2	750	994	605	740	750	723	564	757	588	664	545	780	353	452	490	432
Hs6st1	295	394	235	364	334	287	304	386	148	249	212	272	55	73	94	51
Uggt1	1161	1727	1059	1308	1407	1168	871	1148	995	1118	875	1364	703	884	711	662
Neurl3	183	421	347	313	385	679	691	450	274	493	701	457	163	748	473	286
Arid5a	29	58	52	40	169	283	308	119	179	394	381	256	521	766	867	598
Kansl3	207	373	253	235	208	225	196	191	187	329	264	258	296	356	407	298
Lman2l	230	389	236	237	224	269	210	182	147	203	167	226	96	135	149	95
Cnnm4	62	77	58	69	63	57	47	55	43	42	39	47	19	28	24	37
Cnnm3	75	148	92	71	51	71	76	56	35	61	60	52	12	21	29	26
Ankrd23	13	15	9	16	6	13	10	5	4	10	6	4	5	5	7	4
Ankrd39	14	21	14	21	11	8	16	9	9	11	8	16	6	3	11	4
Sema4c	31	40	40	32	37	39	54	33	49	79	203	120	51	215	195	120
Fam178b	0	4	0	1	0	0	2	0	0	0	1	1	1	0	2	0
Cox5b	464	791	515	740	493	570	744	679	380	796	825	818	371	636	656	582
Actr1b	368	452	258	429	485	414	431	431	435	585	461	619	269	424	544	297
4933424G06Rik	1	10	1	2	2	2	5	8	3	7	4	2	1	0	0	0
Zap70	3	0	0	1	0	1	0	0	0	0	2	2	0	0	0	0
Tmem131	1026	1726	1242	1133	1187	1246	1361	1027	940	1277	1283	1324	1288	1503	1729	1429
Vwa3b	0	0	3	0	0	0	0	0	1	0	2	0	4	1	1	1
Cnga3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inpp4a	272	541	362	250	286	374	282	180	169	306	279	195	114	137	151	147
Coa5	655	1059	664	721	722	639	642	609	684	800	807	995	1457	1450	1547	1723
Unc50	314	579	348	405	329	363	323	287	237	363	342	390	346	484	479	439
Mgat4a	209	320	238	251	282	275	265	243	275	303	309	418	515	792	521	559
4930594C11Rik	12	22	13	6	20	20	16	8	33	20	42	28	37	93	54	34
Cracdl	11	5	4	17	13	0	2	19	5	2	6	16	3	2	0	5
Gm19863	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0
Tsga10	59	117	66	48	45	49	61	70	25	41	49	61	16	28	33	31
Lipt1	4	10	10	19	5	3	3	1	9	15	11	11	4	15	11	10
Mitd1	64	88	69	44	29	31	68	42	75	100	119	170	226	377	381	295
Mrpl30	251	444	248	310	230	245	294	301	181	319	271	326	196	316	320	338
Lyg2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Lyg1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Txndc9	361	624	361	447	403	430	507	426	339	593	582	582	384	520	648	499
Eif5b	2026	3385	2172	2545	2101	2105	2760	2375	1664	2492	3027	2856	1668	2060	3009	2020
Rev1	135	211	148	163	188	180	165	159	84	153	125	134	45	66	63	43
Aff3	0	1	0	0	2	3	0	1	0	2	1	3	0	5	4	1
Lonrf2	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0
Chst10	8	9	9	7	4	1	2	5	0	0	1	3	0	2	1	0
Nms	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pdcl3	405	680	401	663	439	436	708	562	360	560	783	646	381	582	671	500
Npas2	33	31	13	39	46	21	31	39	13	11	4	22	3	2	3	4
Rpl31	3756	5939	3888	5695	3948	4233	4849	4783	2616	4974	4706	5350	2561	4030	4471	3515
Tbc1d8	142	254	166	132	132	190	196	159	67	104	108	108	36	39	69	47
Cnot11	207	374	235	275	237	246	249	229	123	212	187	224	111	194	154	141
Snord89	4	2	6	9	15	26	11	14	1	3	4	0	10	14	11	14
Rnf149	860	1302	836	992	1662	1574	1665	1871	1082	1493	1533	1797	957	1734	1758	1136
Creg2	229	284	181	232	157	138	126	103	88	70	80	97	36	61	37	22
Rfx8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Gm3646	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1700066B17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Map4k4	721	1071	628	735	789	770	801	743	791	1168	1190	1277	433	877	861	418
Gm16894	2	3	0	4	2	0	0	0	0	3	0	0	0	0	1	0
Il1r2	1	1	3	2	4	8	5	5	1	6	8	1	1	0	2	3
Il1r1	1	2	2	1	2	6	4	5	7	10	9	7	1	8	2	0
Il1rl2	5	12	7	6	3	19	18	15	8	9	7	7	1	6	5	1
Il1rl1	21	15	11	48	34	9	13	32	21	10	5	28	4	5	1	2
Il18r1	2	0	0	2	1	3	0	0	0	3	0	1	1	3	6	0
Il18rap	11	16	13	23	22	27	11	18	20	18	8	12	27	48	43	32
Slc9a4	5	2	0	4	2	5	4	3	4	1	8	1	0	1	1	0
Slc9a2	0	3	0	1	4	2	0	1	0	0	0	1	0	0	0	0
Mfsd9	18	36	23	14	12	15	11	7	13	15	11	12	9	25	31	25
Tmem182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930448I06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Pantr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Pou3f3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2900092D14Rik	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	2
Mrps9	102	190	139	133	108	123	118	110	83	115	119	143	54	123	125	85
Gpr45	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	1
Tgfbrap1	366	667	438	403	335	394	357	255	153	293	216	243	93	136	149	85
AI597479	104	149	108	103	105	79	77	62	57	82	58	108	56	70	72	73
Fhl2	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0
Gm8210	23	54	29	29	36	45	29	41	26	26	44	36	22	20	37	22
Nck2	97	164	100	148	126	100	106	101	101	100	117	156	74	58	110	77
Ecrg4	1	7	1	1	0	0	3	0	0	2	1	1	0	0	1	0
Uxs1	88	118	80	124	83	99	87	79	63	74	67	80	34	55	71	49
Tpp2	1371	2296	1379	1418	1764	1797	2113	1674	1202	1724	1781	1932	968	1500	1623	1109
Mettl21c	5	1	2	9	1	3	6	0	2	6	1	2	1	5	4	2
Tex30	83	131	78	127	101	99	125	107	77	104	115	151	30	48	46	47
Poglut2	55	77	45	80	41	36	35	32	23	41	45	51	18	15	21	18
Bivm	74	129	92	73	68	76	62	54	30	28	39	33	18	38	40	23
Ercc5	88	178	108	99	76	117	121	56	29	68	53	78	30	37	65	36
Mettl21e	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Gulp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930521E06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Col3a1	0	4	0	2	1	1	0	0	0	0	0	0	0	1	0	0
Col5a2	0	3	1	0	2	1	2	0	1	10	4	0	1	2	3	0
Wdr75	248	375	225	349	313	215	252	285	216	272	248	300	74	151	172	107
Gm5526	835	1308	767	1146	1030	826	1183	996	704	937	1062	1218	603	828	985	807
Slc40a1	2224	6459	3720	2022	1546	2975	2449	1158	454	1395	1153	693	64	208	168	56
Gm3852	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0
Stk-ps2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnah7b	0	0	0	0	1	1	4	0	0	0	1	0	0	0	4	0
Dnah7c	6	3	0	7	3	0	5	4	0	3	3	0	0	2	1	1
Slc39a10	594	697	407	789	801	477	501	873	497	426	420	820	196	210	238	240
C230029F24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Tmeff2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9330175M20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Cavin2	0	2	0	0	0	0	0	0	2	0	1	0	0	2	0	0
Nabp1	184	272	186	221	216	246	241	148	79	120	130	93	102	99	99	101
Gm17767	0	2	0	1	0	2	1	0	2	0	1	0	0	0	0	1
Myo1b	195	114	72	230	241	67	97	244	167	113	103	221	60	53	49	74
Stat4	39	80	33	35	46	44	36	31	20	38	41	38	24	35	44	14
Gm3940	0	1	0	0	0	0	2	0	1	0	2	1	1	0	0	0
Stat1	875	1975	1659	1048	905	1360	1699	973	1684	2290	2767	2716	4009	7405	5068	4423
Gls	682	917	571	736	724	591	574	657	794	952	782	1093	627	1106	1003	762
Nab1	764	1099	727	921	1102	1009	1220	1016	740	1183	1022	1146	716	1126	965	730
Nemp2	77	111	58	55	49	36	18	39	17	20	25	23	2	1	3	1
Mfsd6	479	889	603	596	548	571	549	512	390	571	510	516	148	202	285	135
Inpp1	72	93	88	77	52	62	59	56	46	48	42	48	95	122	154	114
Hibch	93	148	74	70	83	94	92	75	40	67	42	76	13	24	25	13
1700019D03Rik	3	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0
Mstn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1700019A02Rik	0	3	0	0	0	2	0	0	0	0	0	1	0	0	0	0
Pms1	65	119	86	81	66	76	85	74	20	37	25	37	9	31	23	15
Ormdl1	151	207	124	161	97	82	97	123	47	71	81	96	34	52	50	29
Osgepl1	36	69	37	35	27	15	29	18	5	16	18	7	5	10	7	3
Asnsd1	413	783	468	451	402	427	495	431	247	289	374	388	132	203	294	200
Dnah7a	0	0	0	0	0	0	3	0	0	0	2	0	0	1	0	0
Stk17b	403	799	442	417	369	661	510	320	71	204	238	117	42	81	111	49
Hecw2	3	16	3	7	7	7	8	6	1	6	8	9	0	2	3	0
Ccdc150	0	2	5	2	2	4	0	0	1	3	3	0	0	0	1	0
Gtf3c3	203	353	212	262	204	223	226	177	155	230	218	246	165	303	285	219
Pgap1	653	1229	679	644	572	696	584	521	375	442	368	438	196	211	202	216
Ankrd44	441	929	553	491	553	737	741	567	735	925	944	1253	400	685	670	482
Sf3b1	2881	5142	3050	3316	3850	4209	4875	3864	3092	4300	5041	4669	2856	4361	4956	3204
Coq10b	65	82	55	90	238	251	321	275	126	249	305	220	83	186	149	92
Hspd1	830	1079	658	978	943	686	725	949	665	745	658	1012	419	456	526	494
Hspe1	593	805	546	806	587	438	637	674	353	545	570	655	294	379	516	437
Mob4	538	870	485	601	656	599	666	641	399	641	748	740	370	646	620	468
Rftn2	35	68	41	40	35	48	43	28	13	22	18	18	14	15	9	7
Mars2	44	30	26	51	44	17	25	43	24	22	21	31	4	7	7	11
Boll	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Plcl1	6	6	4	9	11	10	10	3	7	19	13	8	4	3	8	10
Gm6644	219	321	187	276	213	231	214	249	162	215	225	269	126	173	200	181
9130227L01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hsfy2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Satb2	51	42	24	46	54	33	40	64	23	19	23	44	35	12	31	21
9130024F11Rik	0	1	3	3	4	2	4	0	1	0	0	3	0	1	1	0
BC055402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930558J18Rik	12	30	27	23	20	15	14	13	5	12	10	11	2	9	4	1
1700066M21Rik	151	231	132	172	93	102	98	100	51	46	67	66	15	38	38	24
Tyw5	58	99	68	78	64	64	67	59	59	57	78	117	49	88	85	81
Maip1	34	61	42	42	42	36	39	33	26	47	52	46	32	41	49	50
Spats2l	0	2	1	0	1	2	0	0	1	0	4	0	5	11	8	1
Kctd18	84	130	99	104	90	100	102	66	52	82	98	83	43	91	102	56
Sgo2a	587	1137	738	670	473	681	866	495	282	379	451	430	18	104	107	35
Aox1	3	4	3	12	4	3	5	4	2	1	1	4	0	0	1	1
Aox3	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Aox4	4	0	1	2	2	0	1	0	1	1	2	0	0	0	0	0
Aox2	2	0	4	7	1	0	0	2	1	1	2	1	0	0	3	1
Bzw1	1781	2580	1609	2125	2335	1951	2340	2402	1594	2219	2257	2584	1219	1862	2069	1575
Clk1	390	724	440	454	581	755	809	508	235	384	405	356	266	375	293	300
Ppil3	52	119	55	86	67	49	48	43	32	33	61	55	37	41	54	50
Nif3l1	107	176	99	111	122	116	125	95	88	121	129	116	85	161	135	93
Orc2	195	266	161	254	184	150	175	204	123	147	130	199	40	94	99	94
Gm15834	8	11	7	4	6	4	0	7	1	4	5	6	2	7	5	1
Fam126b	133	306	154	149	136	119	104	95	103	99	97	113	54	82	99	49
Ndufb3	167	247	158	233	138	137	213	207	98	165	157	173	83	123	133	115
Gm20257	7	24	13	4	8	10	4	6	6	19	12	10	6	13	12	7
Flacc1	0	0	1	1	0	0	0	0	2	0	1	1	3	0	0	0
Cflar	747	1143	708	843	6209	5758	6264	6016	6736	9912	10256	10281	7025	11420	11814	7700
Casp8	814	1622	1041	952	865	1076	1356	880	620	1094	1238	954	1303	1986	2131	1572
Trak2	585	823	524	655	752	597	662	633	513	623	656	816	369	401	496	354
Stradb	93	187	96	76	113	87	85	84	75	77	72	104	50	49	65	39
C2cd6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem237	169	378	211	222	195	200	225	223	132	182	259	206	80	155	170	135
Mpp4	1	2	0	4	1	1	0	0	0	0	2	0	0	0	0	0
Als2	274	407	255	268	250	239	215	213	163	200	195	218	127	140	214	142
Cdk15	28	55	43	22	23	26	19	19	10	26	12	20	7	14	14	9
Fzd7	210	223	126	294	132	106	101	157	135	216	230	324	261	309	672	258
Gm973	1	2	1	0	0	0	0	1	1	0	1	0	0	1	0	0
Sumo1	362	714	374	483	495	557	603	526	434	660	692	698	487	709	899	626
Nop58	335	425	234	447	603	426	357	650	391	513	471	729	96	272	282	167
Snord70	1	1	3	2	0	0	2	1	2	0	0	1	1	0	0	1
Snord11	0	3	2	0	1	2	0	3	0	0	0	1	0	1	0	0
Bmpr2	642	1047	669	595	637	679	664	500	473	677	641	653	392	668	612	483
Fam117b	195	373	242	225	183	213	214	164	105	148	128	140	56	79	70	53
Ica1l	13	9	11	7	1	0	2	0	2	5	3	5	1	1	3	1
Wdr12	150	258	147	149	170	153	156	122	87	130	109	121	31	45	61	40
Carf	25	57	41	27	26	21	29	22	12	17	22	29	4	12	16	5
Gm15464	429	591	390	623	396	437	528	608	272	552	586	609	315	444	477	446
Nbeal1	750	1164	714	632	686	736	717	539	457	714	724	755	351	366	551	357
Cyp20a1	144	189	118	147	164	119	141	156	104	117	135	151	61	84	108	76
Abi2	279	530	333	347	320	312	354	329	196	276	256	299	119	160	165	89
Raph1	1199	1904	1254	1236	1431	1276	1430	1254	1063	1557	1862	1463	268	702	879	309
Gm11578	1	0	1	1	2	1	0	0	1	1	0	2	6	0	1	0
Cd28	1437	2887	1735	1376	1359	1801	1738	1016	626	1403	1147	882	152	319	498	149
Gm11579	0	4	4	0	0	0	1	0	0	0	0	0	0	0	0	0
Ctla4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Icos	1	5	0	6	1	2	2	1	0	7	6	2	1	1	2	2
9530026F06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pard3b	10	12	15	6	9	11	19	11	11	5	8	22	5	9	7	6
Nrp2	3177	4079	2663	3971	4375	3272	3466	4446	5204	5635	5424	8042	7058	8580	8770	8512
4930487H11Rik	58	51	49	38	115	75	78	118	92	110	130	122	88	160	176	82
Ino80d	633	1181	714	688	920	1010	1052	815	859	1346	1420	1284	579	848	1200	624
Ino80dos	15	36	24	17	10	27	23	13	10	6	17	17	8	16	19	8
Gm20342	6	16	15	7	6	10	3	4	5	3	5	3	4	2	2	0
Ndufs1	394	645	374	468	459	382	365	412	305	420	416	454	247	357	334	273
Eef1b2	892	1623	973	1134	978	1101	1383	1199	706	1165	1229	1260	588	849	1215	811
Snora41	4	5	0	2	1	5	1	4	2	0	1	9	0	2	0	1
Gpr1	0	2	0	1	0	0	0	1	0	1	1	0	0	0	1	0
Zdbf2	0	1	0	0	1	1	1	0	0	0	3	0	0	0	2	0
Adam23	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Dytn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mdh1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
